ilkid,year,Name,team,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,effi
ABDULMA01 ,2000,Mahmo Abdul-rauf,VAN,41,486,266,5,20,25,76,9,1,26,50,246,120,29,22,14,4,95.08
ABDULTA01 ,2000,Tariq Abdul-wahad,DEN,29,420,111,14,45,59,22,14,13,34,54,111,43,36,21,10,4,75.59
ABDURSH01 ,2000,Shareef Abdur-rahim,VAN,81,3241,1663,175,560,735,250,90,77,231,238,1280,604,531,443,64,12,105.95
ALEXACO01 ,2000,Cory Alexander,ORL,24,222,52,0,25,25,36,16,0,25,29,56,18,18,12,16,4,58.48
ALEXACO02 ,2000,Courtney Alexander,WAS,27,910,458,22,58,80,41,29,2,54,63,395,177,105,90,36,14,96.79
ALEXACO02 ,2000,Courtney Alexander,DAL,38,472,160,20,43,63,21,16,3,21,76,178,62,45,33,10,3,80.48
ALEXACO02 ,2000,Courtney Alexander,TOT,65,1382,618,42,101,143,62,45,5,75,139,573,239,150,123,46,17,91.96
ALLENRA02 ,2000,Ray Allen,MIL,82,3129,1806,101,327,428,374,124,20,204,192,1309,628,392,348,467,202,113.98
ALSTORA01 ,2000,Rafer Alston,MIL,37,288,77,4,27,31,68,13,0,20,27,84,30,13,9,30,8,72.83
AMAECJO01 ,2000,John Amaechi,ORL,82,1710,650,77,191,268,74,28,29,124,175,592,237,279,176,7,0,85.33
ANDERDE01 ,2000,Derek Anderson,SAS,82,2859,1269,75,288,363,301,120,14,165,188,993,413,402,342,253,101,100.72
ANDERKE02 ,2000,Kenny Anderson,BOS,33,849,246,16,57,73,134,44,2,52,62,227,88,71,59,33,11,83.61
ANDERNI01 ,2000,Nick Anderson,SAC,21,169,38,3,22,25,13,10,4,7,13,57,14,0,0,39,10,62.3
ANDERSH01 ,2000,Shandon Anderson,HOU,82,2396,710,72,261,333,189,82,40,131,202,590,263,188,138,170,46,97.03
ANTHOGR01 ,2000,Greg Anthony,POR,58,856,282,21,40,61,82,40,3,43,63,253,97,35,23,159,65,97.11
ARMSTDA01 ,2000,Darrell Armstrong,ORL,75,2767,1189,94,249,343,524,135,13,200,155,1002,413,249,220,403,143,97.65
ARTESRO01 ,2000,Ron Artest,CHI,76,2363,907,59,235,294,228,152,45,159,254,815,327,280,210,148,43,87.36
ATKINCH01 ,2000,Chucky Atkins,DET,81,2363,971,28,145,173,330,67,5,149,184,952,380,130,90,339,121,85.91
AUGMOST01 ,2000,Stacey Augmon,POR,66,1182,311,60,99,159,98,48,21,48,105,266,127,87,57,4,0,106.4
AUSTIIS01 ,2000,Isaac Austin,VAN,52,845,226,50,172,222,58,20,23,54,94,270,96,40,28,24,6,77.5
AVERYWI01 ,2000,William Avery,MIN,55,463,154,5,24,29,75,13,4,45,48,144,55,36,28,59,16,77.06
BAGARDA01 ,2000,Dalibor Bagaric,CHI,35,259,47,22,34,56,10,9,16,21,44,65,17,28,13,1,0,61.58
BAKERVI01 ,2000,Vin Baker,SEA,76,2129,927,179,251,430,90,38,73,158,264,822,347,321,232,16,1,98.38
BARKLER01 ,2000,Erick Barkley,POR,8,38,19,0,3,3,6,2,0,5,2,22,8,0,0,8,3,70.37
BARRODA01 ,2000,Dana Barros,DET,60,1079,478,6,88,94,110,30,2,60,63,412,183,80,68,105,44,95.37
BARRYBR01 ,2000,Brent Barry,SEA,67,1778,589,33,178,211,225,80,14,86,126,401,198,103,84,229,109,117.96
BARRYJO01 ,2000,Jon Barry,SAC,62,1010,316,16,78,94,130,28,6,53,66,255,103,73,64,132,46,97.49
BATTITO01 ,2000,Tony Battie,BOS,40,845,260,73,160,233,16,27,60,37,126,201,108,69,44,3,0,133.09
BELLRA01  ,2000,Raja Bell,PHI,5,30,5,0,1,1,0,1,0,2,1,7,2,0,0,3,1,55.56
BENDEJO01 ,2000,Jonathan Bender,IND,59,574,193,14,60,74,32,7,28,42,73,186,66,68,50,41,11,79.12
BENJACO01 ,2000,Corey Benjamin,CHI,65,857,307,38,62,100,69,28,16,63,128,302,115,83,56,81,21,84.45
BENOIDA01 ,2000,David Benoit,UTA,49,446,178,20,61,81,22,6,6,28,75,147,71,39,31,13,5,103.39
BESTTR01  ,2000,Travis Best,IND,77,2457,918,38,184,222,473,110,11,127,246,788,347,226,187,97,37,94.01
BIBBYMI01 ,2000,Mike Bibby,VAN,82,3190,1301,47,257,304,685,107,12,248,148,1157,525,188,143,285,108,90.3
BILLUCH01 ,2000,Chauncey Billups,MIN,77,1790,713,32,126,158,260,51,11,111,178,587,248,171,144,194,73,96.19
BLAYLMO01 ,2000,Mookie Blaylock,GSW,69,2352,760,71,201,272,462,163,20,128,134,801,317,76,53,225,73,85.26
BLOUNCO01 ,2000,Corie Blount,GSW,38,918,259,146,169,315,51,29,17,55,90,247,107,68,43,8,2,139.31
BLOUNCO01 ,2000,Corie Blount,TOT,68,1305,313,181,219,400,59,42,22,73,165,294,130,83,51,8,2,140.66
BLOUNCO01 ,2000,Corie Blount,PHO,30,387,54,35,50,85,8,13,5,18,75,47,23,15,8,0,0,147.54
BLOUNMA01 ,2000,Mark Blount,BOS,64,1098,248,97,134,231,32,39,76,62,183,200,101,66,46,0,0,127.81
BOGUEMU01 ,2000,Muggsy Bogues,TOR,3,34,0,0,3,3,5,2,0,4,3,2,0,0,0,1,0,0
BOHANET01 ,2000,Etdrick Bohannon,CLE,6,19,8,3,4,7,0,0,2,1,4,4,2,4,4,0,0,212.77
BOOTHCA01 ,2000,Calvin Booth,DAL,15,293,112,24,48,72,19,12,30,17,55,84,46,33,20,0,0,122.38
BOOTHCA01 ,2000,Calvin Booth,WAS,40,640,181,53,121,174,23,17,81,36,91,168,74,45,33,0,0,105.97
BOOTHCA01 ,2000,Calvin Booth,TOT,55,933,293,77,169,246,42,29,111,53,146,252,120,78,53,0,0,111.7
BOWDLCA01 ,2000,Cal Bowdler,ATL,44,375,140,30,47,77,4,10,21,11,45,114,53,40,33,5,1,124.33
BOWENBR01 ,2000,Bruce Bowen,MIA,82,2685,623,45,200,245,132,83,53,74,269,581,211,161,98,307,103,91.5
BOWENRY01 ,2000,Ryan Bowen,DEN,57,696,191,62,51,113,30,37,12,24,95,144,80,44,27,11,4,152.36
BOWMAIR01 ,2000,Ira Bowman,ATL,3,19,0,1,1,2,7,0,0,1,0,2,0,0,0,0,0,0
BOYKIEA01 ,2000,Earl Boykins,LAC,10,149,65,4,7,11,32,5,0,9,9,63,25,17,14,8,1,86.12
BRADLSH01 ,2000,Shawn Bradley,DAL,82,2001,579,160,448,608,38,36,228,88,256,447,219,178,140,6,1,127.72
BRANDEL01 ,2000,Elton Brand,CHI,74,2906,1490,285,461,746,240,71,118,219,243,1215,578,472,334,2,0,109.83
BRANDTE01 ,2000,Terrell Brandon,MIN,78,2821,1250,60,238,298,583,161,21,155,138,1134,511,224,195,91,33,94.16
BROWNCH01 ,2000,Chucky Brown,TOT,26,339,102,8,46,54,11,9,7,8,37,95,40,34,22,3,0,92.76
BROWNCH01 ,2000,Chucky Brown,GSW,6,74,24,3,15,18,5,3,1,2,10,20,9,10,6,2,0,102.56
BROWNCH01 ,2000,Chucky Brown,CLE,20,265,78,5,31,36,6,6,6,6,27,75,31,24,16,1,0,90.11
BROWNDE01 ,2000,Dee Brown,ORL,7,155,48,0,11,11,12,4,0,7,10,44,16,5,4,32,12,90.23
BROWNPJ01 ,2000,P.j. Brown,CHA,80,2811,676,257,485,742,127,78,92,108,260,561,249,209,178,4,0,134.14
BROWNRA01 ,2000,Randy Brown,BOS,54,1238,223,23,76,99,154,62,10,56,132,237,100,40,23,3,0,77.54
BRUNSRI01 ,2000,Rick Brunson,NYK,15,66,20,3,9,12,7,1,0,8,5,19,8,6,4,3,0,75.08
BRUNSRI01 ,2000,Rick Brunson,BOS,7,142,26,2,7,9,24,7,1,9,16,35,10,9,4,11,2,56.57
BRUNSRI01 ,2000,Rick Brunson,TOT,22,208,46,5,16,21,31,8,1,17,21,54,18,15,8,14,2,63.36
BRYANKO01 ,2000,Kobe Bryant,LAL,68,2783,1938,104,295,399,338,114,43,220,222,1510,701,557,475,200,61,103.58
BRYANMA01 ,2000,Mark Bryant,DAL,18,101,19,4,17,21,3,1,2,5,29,20,8,5,3,0,0,81.9
BUCKNGR01 ,2000,Greg Buckner,DAL,37,820,229,60,97,157,49,33,9,27,118,192,84,81,59,7,2,117.65
BUECHJU01 ,2000,Jud Buechler,DET,57,737,193,20,74,94,39,21,10,25,83,164,76,12,9,77,32,110.74
BUFORRO01 ,2000,Rodney Buford,PHI,47,573,248,16,58,74,17,17,6,29,68,241,104,29,24,38,16,92.97
BULLAMA01 ,2000,Matt Bullard,HOU,61,1000,354,22,108,130,42,10,9,12,76,305,129,14,10,213,86,117.55
BURRESC01 ,2000,Scott Burrell,CHA,4,41,17,1,2,3,1,3,0,0,8,15,7,4,1,6,2,107.87
CAFFEJA01 ,2000,Jason Caffey,MIL,70,1460,500,135,218,353,53,38,25,77,184,367,179,211,142,0,0,124.43
CAMBYMA01 ,2000,Marcus Camby,NYK,63,2127,759,196,527,723,52,66,136,63,205,580,304,225,150,8,1,139.01
CAMPBEL01 ,2000,Elden Campbell,CHA,78,2337,1022,157,451,608,104,60,140,144,280,834,367,406,288,6,0,102.24
CARDIBR01 ,2000,Brian Cardinal,DET,15,126,31,8,15,23,3,7,2,9,27,31,10,18,11,5,0,77.66
CARRCH01  ,2000,Chris Carr,BOS,35,309,169,11,33,44,11,4,3,19,45,112,53,60,46,37,17,115.44
CARTEAN01 ,2000,Anthony Carter,MIA,72,1630,461,46,134,180,268,73,10,119,154,480,195,103,65,40,6,77.05
